epoch,fine_tuning_mode,amp_enabled,amp_dtype,grad_scaler_enabled,train_loss,train_scene_loss,train_segmentation_loss,train_segmentation_ce_loss,train_segmentation_dice_loss,train_accuracy,tune_loss,tune_scene_loss,tune_segmentation_loss,tune_segmentation_ce_loss,tune_segmentation_dice_loss,tune_accuracy,tune_macro_precision,tune_macro_recall,tune_macro_f1,tune_seg_pixel_accuracy,tune_seg_mean_iou,tune_seg_mean_dice,monitor,monitor_score,lr,qat_qat_mode,qat_observer_enabled,qat_fake_quant_enabled,tune_seg_iou_background,tune_seg_iou_bridge,tune_seg_iou_freeway,tune_seg_iou_overpass,tune_seg_iou_railway,tune_seg_dice_background,tune_seg_dice_bridge,tune_seg_dice_freeway,tune_seg_dice_overpass,tune_seg_dice_railway,early_stop_wait,early_stop_best_score,early_stop_triggered
1,peft,True,bf16,False,0.9449688380318029,0.41569028230650085,1.0585571171981947,0.5297241675002234,0.5288329484207289,0.9160714285714285,0.7496639141014644,0.24013344390051705,1.0190609327384403,0.3334974848798343,0.685563451051712,0.9892857142857143,0.9896062606994376,0.9892857142857143,0.9893026058155405,0.886989164352417,0.6879123630869913,0.8052532977979935,macro_f1,0.9893026058155405,0.0001,w8a8,True,False,0.8532198069941943,0.704539327587434,0.8503053939839791,0.4817222845043763,0.5497750023649729,0.920797202548858,0.8266624491259147,0.9190973519816064,0.6502193960935242,0.7094900892400645,0,0.9893026058155405,False
2,peft,True,bf16,False,0.5332753634878568,0.22313448919781617,0.6202817497508867,0.2918291154450604,0.32845263268266406,0.9933035714285714,0.6933938162667411,0.2183829422507967,0.9500217488833836,0.2840721284704549,0.6659496179648808,0.9964285714285714,0.9964788732394366,0.9964285714285714,0.9964283892035308,0.8994482789720808,0.7260351932196487,0.8339305861081721,macro_f1,0.9964283892035308,0.0001,w8a8,True,True,0.8653107931549726,0.7606768285629214,0.8654585355702995,0.534085674083666,0.6046441347263842,0.9277926191499621,0.8640731975598179,0.9278775368820679,0.6962918474584986,0.7536177294905142,0,0.9964283892035308,False
3,peft,True,bf16,False,0.48509853429027966,0.21557351388037205,0.5390500397022281,0.25236982788358414,0.28668021112680436,0.9955357142857143,0.654232691015516,0.20402090570756368,0.900423572744642,0.24366129487752913,0.6567622797829764,1.0,1.0,1.0,1.0,0.9115389006478446,0.7530813079767158,0.8529737240061819,macro_f1,1.0,9.968561049466214e-05,w8a8,True,True,0.8793674157220293,0.7643139615824168,0.9020652739516529,0.5754269568266739,0.644232931800806,0.9358121337696891,0.8664149105263579,0.948511374772706,0.7305028701371669,0.783627330824989,0,1.0,False
4,peft,True,bf16,False,0.4502373020563807,0.2082425406468766,0.483989522925445,0.231911466244076,0.25207805697407043,0.9982142857142857,0.6461224624088833,0.20356459532465254,0.8851157401289259,0.2309598619384425,0.6541558810642787,1.0,1.0,1.0,1.0,0.915994017464774,0.7593091720299753,0.85689425215627,macro_f1,1.0,9.874639560909117e-05,w8a8,True,True,0.8858882624132911,0.7753965203925353,0.9079910145462281,0.5751155473705051,0.6521545154273162,0.9394917822752208,0.8734910894396676,0.9517770341933952,0.7302518832102215,0.7894594716628448,1,1.0,False
5,peft,True,bf16,False,0.43788180904729024,0.20374790068183626,0.46826781540044715,0.2201952258657132,0.24807258929525103,1.0,0.6377766464437757,0.20384675775255476,0.8678597799369268,0.21603297702968122,0.6518268023218428,1.0,1.0,1.0,1.0,0.9200617585863385,0.7670710946239939,0.8621946483698464,macro_f1,1.0,9.719416651541839e-05,w8a8,True,True,0.8918483471897006,0.7809096052544295,0.91323360412827,0.5850356135245441,0.6643283030230255,0.9428328105839158,0.8769783743660194,0.9546493456499456,0.7381986985436083,0.7983140127057429,2,1.0,False
6,peft,True,bf16,False,0.43591210022568705,0.20822179482451508,0.45538061101521765,0.21351637060620954,0.24186424016952515,0.9982142857142857,0.6360165808882032,0.20387091508933475,0.8642913247857775,0.21505966250385558,0.6492316671780177,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272,0.9217134952545166,0.770153082977769,0.864293203649939,macro_f1,0.9982142629370272,9.504844339512095e-05,w8a8,True,True,0.8939888187216012,0.777983772713339,0.9197977786070155,0.5939153309842957,0.6650797138625935,0.9440275569578315,0.87513034106726,0.9582236096495651,0.745228205587976,0.7988563049870626,3,1.0,False
7,peft,True,bf16,False,0.4243544421025685,0.20263164969427244,0.4434455866792372,0.20552158982359936,0.237923997427736,1.0,0.6309436883245195,0.20252788833209445,0.8568315982818604,0.20680253974028995,0.6500290606703077,1.0,1.0,1.0,1.0,0.923520244870867,0.7702794271139861,0.8638205489004305,macro_f1,1.0,9.233620996141421e-05,w8a8,True,True,0.8968447544826781,0.788010144551274,0.9208148968560922,0.577243559981237,0.6684837796986494,0.9456174548425523,0.8814381137071636,0.9587752556097339,0.7319650238268894,0.8013068965158133,4,1.0,False
8,peft,True,bf16,False,0.4220233452107225,0.20688563718327455,0.43027541350041115,0.2046610102057457,0.22561440276248115,0.9977678571428571,0.6297900089195796,0.2048981500523431,0.8497837134769984,0.20222097395786218,0.6475627396787916,0.9964285714285714,0.9964788732394366,0.9964285714285714,0.9964348356592694,0.9230895587376186,0.7791179018052772,0.8705682597151568,macro_f1,0.9964348356592694,8.90915741234015e-05,w8a8,True,True,0.8948597970159232,0.7901284246409247,0.9223681390690812,0.6086542011713023,0.6795789471291545,0.9445129380286318,0.8827617211870301,0.9596165482806469,0.7567247214822497,0.8092253695972255,5,1.0,False
9,peft,True,bf16,False,0.41732689376388277,0.20319502188691071,0.4282637429024492,0.19564727850790534,0.23261646330356597,1.0,0.6256767996719905,0.2028944377388273,0.8455647221633367,0.19838339526738438,0.6471813312598638,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272,0.9247162818908692,0.780120022140002,0.87109482760485,macro_f1,0.9982142629370272,8.535533905932738e-05,w8a8,True,True,0.8973229245407819,0.7921702335145688,0.9252906306077358,0.6107631090951557,0.6750532129417672,0.9458831840741768,0.8840345841042886,0.9611957965179099,0.7583524922398442,0.8060080810880308,6,1.0,False
10,peft,True,bf16,False,0.4108104991061347,0.20241869783827238,0.4167836035468749,0.19219860812383038,0.22458499521017075,1.0,0.6234052606991359,0.20218512841633388,0.8424402620111193,0.19473660859678474,0.647703652722495,1.0,1.0,1.0,1.0,0.9252669198172433,0.7835564517917485,0.8735619377270167,macro_f1,1.0,8.117449009293668e-05,w8a8,True,True,0.8975944052212792,0.7923256283443243,0.926952487419333,0.6191355115185772,0.6817742264552284,0.9460339920391053,0.8841313384289904,0.9620916898275496,0.7647729385391514,0.810779729800287,7,1.0,False
11,peft,True,bf16,False,0.40154743950281824,0.20235873976988453,0.3983773979225329,0.186855371629021,0.21152202721152988,1.0,0.6238687787737165,0.20415776010070527,0.8394220326628004,0.19144445859960146,0.6479775718280247,1.0,1.0,1.0,1.0,0.9259958403451102,0.7816324425515858,0.8720137948921802,macro_f1,1.0,7.660160382576683e-05,w8a8,True,True,0.8989586001168235,0.7935821515752685,0.9263830682032382,0.6074016886593766,0.6818367042032223,0.9467911518044888,0.8849130784205013,0.9617848947014338,0.7557559419586881,0.8108239075757899,8,1.0,True
