epoch,fine_tuning_mode,amp_enabled,amp_dtype,grad_scaler_enabled,train_loss,train_scene_loss,train_segmentation_loss,train_segmentation_ce_loss,train_segmentation_dice_loss,train_accuracy,tune_loss,tune_scene_loss,tune_segmentation_loss,tune_segmentation_ce_loss,tune_segmentation_dice_loss,tune_accuracy,tune_macro_precision,tune_macro_recall,tune_macro_f1,tune_seg_pixel_accuracy,tune_seg_mean_iou,tune_seg_mean_dice,monitor,monitor_score,lr,qat_qat_mode,qat_observer_enabled,qat_fake_quant_enabled,tune_seg_iou_background,tune_seg_iou_bridge,tune_seg_iou_freeway,tune_seg_iou_overpass,tune_seg_iou_railway,tune_seg_dice_background,tune_seg_dice_bridge,tune_seg_dice_freeway,tune_seg_dice_overpass,tune_seg_dice_railway,early_stop_wait,early_stop_best_score,early_stop_triggered,lr_backbone,lr_non_backbone
1,fft,True,bf16,False,0.9449407033622265,0.4156761036387512,1.0585292002984457,0.5297104443822588,0.5288187527230808,0.9160714285714285,0.7495601321969714,0.24004245634589877,1.019035358939852,0.33348205792052404,0.6855533029351916,0.9892857142857143,0.9896062606994376,0.9892857142857143,0.9893026058155405,0.8869908264705113,0.6879527830460586,0.8052828637263344,macro_f1,0.9893026058155405,0.0001,w8a8,True,False,0.8532131888679607,0.704766151412143,0.8502765560119937,0.4817667558835558,0.54974126305464,0.9207933485398384,0.8268185649138446,0.9190805052890505,0.6502599062512849,0.7094619936376534,0,0.9893026058155405,False,,
2,fft,True,bf16,False,0.5337185098656586,0.22342693422521864,0.6205831509615694,0.2920106174956475,0.328572533598968,0.9933035714285714,0.6923607391970498,0.2178689848099436,0.9489835168634142,0.28318390803677695,0.6657996084008898,0.9964285714285714,0.9964788732394366,0.9964285714285714,0.9964283892035308,0.8998060498918806,0.7267683389338687,0.8344944780621407,macro_f1,0.9964283892035308,0.0001,w8a8,True,True,0.8657673800586229,0.7606700425060651,0.8655758256098147,0.5353135950806864,0.6065148514141542,0.9280550076198891,0.8640688194175881,0.927944941961153,0.6973345338644692,0.7550690874476039,0,0.9964283892035308,False,,
3,fft,True,bf16,False,0.4844474230493818,0.2151470545679331,0.5386007364839316,0.25209928852106844,0.2865014474306788,0.9959821428571428,0.654166453225272,0.2040573388338089,0.9002182279314314,0.2434587442449161,0.6567594851766314,1.0,1.0,1.0,1.0,0.9115767683301653,0.7531770775535969,0.8530434601125899,macro_f1,1.0,9.968561049466214e-05,w8a8,True,True,0.8794055760285254,0.7642316498955055,0.90211223976151,0.5754561560209016,0.6446797660615418,0.9358337415246425,0.8663620221763628,0.94853733749657,0.7305263987470395,0.7839578006183348,0,1.0,False,,
4,fft,True,bf16,False,0.4674123551164355,0.22365297132304737,0.487518768544708,0.23661920917885645,0.25089955989803586,0.9919642857142857,0.6379596522876194,0.20235767917973654,0.8712039402553013,0.22070153440747942,0.6505024075508118,1.0,1.0,1.0,1.0,0.9214870861598423,0.772136028284134,0.8654377365084459,macro_f1,1.0,,w8a8,True,True,0.8930943533946919,0.7882174221911067,0.9211949161293791,0.588493480252232,0.6696799694532598,0.9435286221135227,0.8815677695671952,0.9589812136139788,0.7409454147193439,0.8021656625281884,1,1.0,False,2.4686598902272793e-05,9.874639560909117e-05
5,fft,True,bf16,False,0.42158217344965254,0.20427184642425605,0.43462065378470083,0.2030205547676555,0.2316000998020172,0.9995535714285714,0.6208193736416953,0.20195976453168052,0.8377192173685346,0.19176389085394996,0.6459553224699838,1.0,1.0,1.0,1.0,0.9285244124276297,0.7896112942306456,0.877547507998532,macro_f1,1.0,,w8a8,True,True,0.902178997187398,0.7948600872764645,0.9298453665140276,0.6205204412796689,0.7006515788956688,0.9485742388296569,0.8857070174005505,0.96364753637609,0.76582858873371,0.8239801586526527,2,1.0,False,2.4298541628854597e-05,9.719416651541839e-05
6,fft,True,bf16,False,0.440023779549769,0.21773307350065027,0.44458141199180057,0.21117876259876148,0.2334026481424059,0.9941964285714285,0.624040401833398,0.20210846343210764,0.8438638780798231,0.20021138018263238,0.6436524936131068,1.0,1.0,1.0,1.0,0.9299610955374581,0.7914097764705904,0.8787883048064062,macro_f1,1.0,,w8a8,True,True,0.904351371133055,0.796222312338895,0.9302937779185391,0.6273385368159649,0.6988428841464978,0.9497736445506714,0.8865520786256339,0.9638882832867928,0.7709994234431509,0.8227280941257824,3,1.0,False,2.376211084878024e-05,9.504844339512095e-05
7,fft,True,bf16,False,0.40206060611775946,0.2024416735129697,0.39923786409199236,0.18033552832369293,0.21890233648674828,1.0,0.6169815914971488,0.20196058409554618,0.8300420148032052,0.18630492825593267,0.643737085376467,1.0,1.0,1.0,1.0,0.9313789435795375,0.7912077095257442,0.8777312784961124,macro_f1,1.0,,w8a8,True,True,0.9065825945890856,0.814643326759882,0.9339536379445236,0.5981010592522831,0.7027579290829461,0.951002696827279,0.8978550382288736,0.9658490458304507,0.7485146897182104,0.8254349218757481,4,1.0,False,2.3084052490353553e-05,9.233620996141421e-05
8,fft,True,bf16,False,0.3969276737953935,0.20656420907803943,0.3807269294347082,0.1774658357059317,0.20326109336955206,0.9986607142857142,0.6116604115281786,0.20169038687433516,0.8199400476046971,0.17886612343468836,0.6410739285605295,1.0,1.0,1.0,1.0,0.9334715366363525,0.8016736091010215,0.8856167749357493,macro_f1,1.0,,w8a8,True,True,0.9086546194854475,0.8084325553517637,0.9339501310276,0.642129476333724,0.7152012633065723,0.9521414824966193,0.8940698982213501,0.9658471705589924,0.7820692406878474,0.8339560827139367,5,1.0,False,2.2272893530850373e-05,8.90915741234015e-05
9,fft,True,bf16,False,0.38647762265588553,0.2021828942000866,0.36858945786952974,0.16214588414877654,0.2064435743859836,1.0,0.6075763387339456,0.2016674844282014,0.8118177107402257,0.17193360924720763,0.6398841031960079,1.0,1.0,1.0,1.0,0.9347871439797538,0.8059277976852002,0.8882238132553313,macro_f1,1.0,,w8a8,True,True,0.910271705563123,0.8234081555718018,0.9372313752926185,0.6484599809131395,0.7102677710853185,0.9530285172650734,0.9031528712380795,0.9675987982086547,0.7867464038210196,0.8305924757438302,6,1.0,False,2.1338834764831845e-05,8.535533905932738e-05
10,fft,True,bf16,False,0.3811623842588493,0.20238950699567795,0.35754575447312426,0.15799376645258495,0.19955198892525264,1.0,0.6047912316662925,0.20157761616366252,0.8064272267477853,0.16723230332136155,0.6391949202333178,1.0,1.0,1.0,1.0,0.9356362479073661,0.8102498265979143,0.891014663071713,macro_f1,1.0,,w8a8,True,True,0.9109435465193633,0.8301124626533763,0.9396652625806156,0.6529480949654273,0.7175797662707897,0.9533966068004226,0.9071709849457484,0.9688942527438407,0.7900406515536523,0.8355708193149007,7,1.0,False,2.029362252323417e-05,8.117449009293668e-05
