true_class_name,runner_up_class_name,count,min_margin,mean_margin,max_runner_up_probability,count_margin_lt_0_50,count_margin_lt_0_35,count_margin_lt_0_25
freeway,freeway,3,0.011867469878811376,0.04939914348430966,0.4340502176769315,3,3,3
bridge,bridge,9,0.01703628882031949,0.16066592032033078,0.4342651056276741,8,8,7
bridge,overpass,68,0.021946094323009202,0.514239140987793,0.4321926651433532,24,17,10
bridge,railway,23,0.030095542691284394,0.4533427405462115,0.3653093956281151,13,9,7
freeway,overpass,51,0.1832815969254199,0.5443710456590953,0.3150285029253641,18,10,2
freeway,railway,46,0.26953282437846215,0.5829140889029764,0.2528335775310196,10,3,0
railway,railway,1,0.35850435664166214,0.35850435664166214,0.2876870078035808,1,0,0
railway,overpass,92,0.38076760013755717,0.8288577270415827,0.2814424570089491,2,0,0
overpass,railway,94,0.5169486652710698,0.8554711940410409,0.2184567529850989,0,0,0
railway,bridge,1,0.6939270379702076,0.6939270379702076,0.1057589701889554,0,0,0
railway,freeway,6,0.8247748318692734,0.8870278847064109,0.0613386646332832,0,0,0
overpass,bridge,5,0.8927188444000289,0.9169684557535772,0.0283865989435659,0,0,0
overpass,freeway,1,0.9276098031182264,0.9276098031182264,0.0205782024655572,0,0,0
