true_class_name,runner_up_class_name,count,min_margin,mean_margin,max_runner_up_probability,count_margin_lt_0_50,count_margin_lt_0_35,count_margin_lt_0_25
bridge,overpass,54,0.0,0.5337794337955264,0.3376243582258749,12,6,5
railway,railway,3,0.049102661623075694,0.09820429044227537,0.3326504096479377,3,3,3
railway,bridge,44,0.11742852635732065,0.5023854996188526,0.2915436132262358,17,6,3
overpass,freeway,42,0.1923015471760406,0.598028330764941,0.3222853054551404,7,3,3
overpass,railway,26,0.2530662805116504,0.4942827023847674,0.2702307441457115,12,3,0
overpass,bridge,32,0.27461043145722386,0.5657038284351934,0.2625034895824797,9,3,0
railway,freeway,35,0.28789497179012496,0.6103092684697824,0.2355301922216086,6,3,0
railway,overpass,18,0.29111299541430874,0.5431357259157994,0.2159351999073051,6,2,0
bridge,railway,28,0.363422501118754,0.5983393345360061,0.2144387693994803,3,0,0
freeway,railway,23,0.3703687495508988,0.6386743601371146,0.197024743396719,3,0,0
freeway,bridge,73,0.3984893460298825,0.6579178142076296,0.2068112329804945,5,0,0
freeway,overpass,4,0.40198406946463505,0.5709977582790475,0.176277253279542,2,0,0
bridge,freeway,18,0.4975228079074387,0.6051022062173081,0.1684301547225387,1,0,0
